title,main_genre,belongs_to_collection,budget,revenue,production_companies,vote_average,popularity,runtime,cast_size,crew_size,cast_tr_rev,director_tr_rev,production_company_tr_roi,English,title_length,rel_month,rel_year
Weekend at Bernie's,Comedy,True,6.5,30.218387,1.0,6.4,8.051891,97.0,7,12,185.237752,179.455851,1.1511406419753087,True,17,July,1989
Licence to Kill,Adventure,True,32.0,156.167015,1.0,5.9,11.137888,133.0,24,19,193.576422,726.426659,8.175288344827587,True,13,July,1989
Lethal Weapon 2,Action,True,25.0,227.853986,2.0,6.7,12.834276,114.0,21,59,612.1750930000001,621.6113430000001,6.384731909090909,True,13,July,1989
When Harry Met Sally...,Comedy,False,16.0,92.823546,2.0,7.3,8.34322,96.0,16,18,2047.158223,87.88143,1.0,True,20,July,1989
Friday the 13th Part VIII: Jason Takes Manhattan,Horror,True,5.0,14.0,3.0,4.8,7.743144,100.0,16,7,19.170001,0.0,5.628091058833242,True,41,July,1989
Kiki's Delivery Service,Animation,False,6.9,18.172849,2.0,7.6,12.220581,103.0,34,15,0.0,3.3014459999999985,1.0,False,21,July,1989
Lock Up,Action,False,24.0,22.099847,4.0,6.2,4.701379,115.0,20,20,1780.852454,4.27815,2.538980627462994,True,6,August,1989
The Abyss,Adventure,False,70.0,90.000098,3.0,7.1,9.809585,139.0,20,107,355.81694000000005,261.687655,4.640920989161701,True,8,August,1989
A Nightmare on Elm Street 5: The Dream Child,Horror,True,8.0,22.168359,1.0,5.5,7.534739,89.0,43,11,147.29243499999998,0.0,4.832634033085033,True,36,August,1989
Uncle Buck,Comedy,False,15.0,79.258538,2.0,6.6,8.13754,100.0,21,10,190.758488,233.51189500000004,5.814262019459156,True,9,August,1989
Cheetah,Drama,False,5.0,8.153677,,5.9,0.011574,83.0,7,3,34.51601699999999,0.0,1.0,True,7,August,1989
Casualties of War,Drama,False,22.5,18.671317,1.0,6.8,7.435688000000002,113.0,11,10,646.9408410000001,261.131606,4.805218032486954,True,15,August,1989
Little Monsters,Adventure,False,7.0,0.793775,,5.6,6.256969000000002,102.0,7,3,38.265463,0.0,1.0,True,14,August,1989
Drugstore Cowboy,Crime,False,2.5,4.729352,1.0,7.0,8.026112,100.0,13,17,99.009079,0.0,1.0,True,15,September,1989
Johnny Handsome,Crime,False,20.0,7.237794,3.0,6.1,9.059459,94.0,10,26,58.451848,216.80975799999996,1.0,True,14,September,1989
Sea of Love,Drama,False,19.0,110.879513,1.0,6.7,9.801967,113.0,12,7,496.888446,36.641042999999996,0.0,True,9,September,1989
The Big Picture,Comedy,False,5.0,0.117463,1.0,5.9,6.69473,100.0,39,18,80.33626100000001,0.0,2.5375192305508114,True,13,September,1989
Black Rain,Action,False,30.0,45.892212,3.0,6.2,6.973408,125.0,53,43,975.223507,163.85208,5.616295142209704,True,9,September,1989
Halloween 5: The Revenge of Michael Myers,Horror,True,5.0,11.642254,1.0,5.3,6.5854050000000015,96.0,19,12,193.63815,0.0,1.0,True,35,October,1989
Look Who's Talking,Comedy,True,7.5,296.0,2.0,5.8,5.795045,93.0,8,6,600.7601890000001,76.45750099999998,2.4446267944082596,True,16,October,1989
Crimes and Misdemeanors,Comedy,False,19.0,18.254702,2.0,7.4,6.645295,104.0,39,41,232.879435,230.070152,3.790825182695118,True,21,October,1989
Next of Kin,Adventure,False,12.0,15.942628,1.0,5.0,3.801832,108.0,53,19,370.06806200000005,30.048862999999997,2.1896611153846157,True,9,October,1989
Dad,Drama,False,19.0,19.738015,2.0,5.6,2.727017,117.0,12,3,490.37191800000005,0.0,5.805907982112216,True,3,October,1989
Shocker,Thriller,False,5.0,16.554699,3.0,5.5,5.587765,109.0,17,41,63.94677999999999,79.088275,1.0,True,7,October,1989
The Little Mermaid,Animation,True,40.0,222.3,2.0,7.2,17.496832,83.0,12,48,0.0,38.625549999999976,4.284401233688935,True,16,November,1989
Valmont,Drama,False,33.0,1.132112,2.0,6.7,8.40852,137.0,14,14,78.851004,160.95430399999998,27.978694333202654,True,7,November,1989
All Dogs Go to Heaven,Drama,True,13.8,27.100027,3.0,6.3,7.068389,89.0,16,36,1054.005573,0.0,6.118690817519639,True,17,November,1989
Harlem Nights,Comedy,False,30.0,60.86487,1.0,5.7,9.01086,116.0,10,9,1551.427109,0.0,5.516522369556788,True,12,November,1989
Back to the Future Part II,Adventure,True,40.0,332.0,3.0,7.4,13.689855,108.0,55,29,1768.7385,809.2012789999999,5.712655645587274,True,21,November,1989
National Lampoon's Christmas Vacation,Comedy,True,27.0,71.32,2.0,7.1,9.802574,97.0,24,8,416.333812,0.0,1.0,True,34,December,1989
Driving Miss Daisy,Comedy,False,7.5,145.793296,3.0,7.0,10.703677,99.0,16,40,955.067304,0.0,1.0,True,16,December,1989
The Wizard,Adventure,False,6.0,14.2789,1.0,6.1,5.763954,100.0,12,2,30.199206000000004,0.0,5.814994915113368,True,9,December,1989
Glory,War,False,18.0,26.828365,2.0,7.4,7.521346,122.0,17,44,288.200738,38.70231,3.432337124422311,True,5,December,1989
Born on the Fourth of July,Drama,False,14.0,161.001698,2.0,6.7,13.617646,145.0,95,34,1090.95256,186.413942,5.79473397791751,True,21,December,1989
Tango & Cash,Action,False,55.0,63.408614,1.0,6.1,7.507261,104.0,16,7,1831.1022160000002,7.936012000000005,4.672691735456849,True,10,December,1989
Always,Fantasy,False,31.0,74.13479,3.0,6.0,5.443097,122.0,7,10,1290.918324,3007.043104,5.8721865933455675,True,6,December,1989
Tremors,Action,True,11.0,48.572,2.0,6.6,15.750026,96.0,15,26,151.489661,0.0,5.770609911509773,True,7,January,1990
Dark Angel,Action,False,7.0,9.229401,4.0,5.5,7.958502,91.0,14,47,21.528810000000004,20.256975,1.0,True,9,January,1990
Stanley & Iris,Drama,False,23.0,5.820015,2.0,5.7,1.914881,104.0,12,28,379.516792,77.295525,1.0,True,12,February,1990
Hard to Kill,Action,False,10.0,47.41,1.0,5.6,7.176601,96.0,24,8,57.80367899999999,19.905359000000004,4.386659425714111,True,10,February,1990
Loose Cannons,Action,False,1.5,5.585154,1.0,4.9,1.9612080000000005,94.0,51,119,1830.743668,209.735331,3.3621161798000316,True,12,February,1990
Nightbreed,Action,False,11.0,8.862354,2.0,6.4,6.372135,102.0,16,17,0.0,14.564027,1.0,True,10,February,1990
The Hunt for Red October,Action,True,30.0,199.2,3.0,7.2,15.91126,134.0,33,13,1612.390469,239.00350399999996,5.375183161441638,True,20,March,1990
House Party,Comedy,True,2.5,26.386,1.0,6.1,2.291511,100.0,8,2,0.0,0.0,4.624998726648236,True,10,March,1990
Pretty Woman,Romance,False,14.0,463.0,2.0,7.0,13.348451,119.0,17,10,238.41625399999998,114.44391300000007,8.460056365503078,True,11,March,1990
Teenage Mutant Ninja Turtles,Science Fiction,True,13.5,202.0,2.0,6.5,13.184585,93.0,17,14,0.0,0.0,4.863376200048243,True,25,March,1990
Cry-Baby,Comedy,False,11.0,8.266342999999999,2.0,6.4,8.290384,85.0,15,7,1.5797620000000006,6.0,8.858517903842284,True,8,April,1990
The First Power,Crime,False,10.0,22.424195,3.0,4.7,1.942945,98.0,9,30,112.93698,0.0,3.641916358349487,True,13,April,1990
Spaced Invaders,Comedy,False,3.0,15.369573,2.0,4.8,2.4282790000000003,100.0,4,2,7.799999999999999,0.0,11.553047486535009,True,14,April,1990
Wild at Heart,Comedy,False,9.5,14.560247,1.0,7.0,8.528622,124.0,20,14,382.77523699999995,72.487782,1.0,True,11,May,1990
Tales from the Darkside: The Movie,Thriller,False,3.5,16.324573,3.0,5.8,5.7320160000000016,93.0,21,23,86.30567800000001,0.0,5.404175909312797,True,29,May,1990
Class of 1999,Science Fiction,True,5.2,2.459895,2.0,6.3,6.700173,99.0,13,9,59.751067,90.525701,1.0,True,11,May,1990
Back to the Future Part III,Adventure,True,40.0,244.527583,3.0,7.1,13.043999,118.0,54,24,2046.2387749999998,1141.2012789999999,5.666996760165488,True,22,May,1990
Total Recall,Action,False,65.0,261.317921,3.0,7.1,12.954444,113.0,21,24,751.203058,53.0,3.363437872044676,True,11,June,1990
Frankenhooker,Comedy,False,2.5,0.205068,2.0,5.7,5.097791,85.0,46,28,0.0,0.0,1.0,True,13,June,1990
